date,total_mentions,positive_sentiment,negative_sentiment,neutral_sentiment,sentiment_ratio,day_of_week
2024-10-21,0,7,0,1,7.0,Monday
2024-10-22,11,12,0,6,12.0,Tuesday
2024-10-23,3,8,0,3,8.0,Wednesday
2024-10-24,11,16,0,6,16.0,Thursday
2024-10-25,0,2,0,0,2.0,Friday
2024-10-28,11,12,1,7,12.0,Monday
2024-10-29,12,11,0,10,11.0,Tuesday
2024-10-30,1,1,0,2,1.0,Wednesday
2024-10-31,11,15,1,6,15.0,Thursday
2024-11-01,0,6,0,0,6.0,Friday
2024-11-02,0,1,0,0,1.0,Saturday
2024-11-04,11,8,1,10,8.0,Monday
2024-11-05,18,20,0,10,20.0,Tuesday
2024-11-06,18,17,1,12,17.0,Wednesday
2024-11-07,10,6,1,10,6.0,Thursday
2024-11-08,16,30,1,6,30.0,Friday
2024-11-09,0,1,0,0,1.0,Saturday
2024-11-11,24,33,0,9,33.0,Monday
2024-11-12,11,10,0,7,10.0,Tuesday
2024-11-13,22,26,0,11,26.0,Wednesday
2024-11-14,25,26,1,11,26.0,Thursday
2024-11-18,19,23,0,10,23.0,Monday
2024-11-19,24,28,0,11,28.0,Tuesday
2024-11-20,0,1,0,0,1.0,Wednesday
2024-11-21,16,16,0,8,16.0,Thursday
2024-11-22,12,12,0,3,12.0,Friday
2024-11-25,6,4,0,3,4.0,Monday
2024-11-26,12,14,0,10,14.0,Tuesday
2024-11-27,16,17,1,5,17.0,Wednesday
2024-11-28,9,10,1,7,10.0,Thursday
2024-11-29,22,24,0,11,24.0,Friday
2024-11-30,0,3,0,1,3.0,Saturday
2024-12-02,10,18,0,7,18.0,Monday
2024-12-03,11,17,0,10,17.0,Tuesday
2024-12-04,15,21,1,6,21.0,Wednesday
2024-12-05,26,28,1,6,28.0,Thursday
2024-12-06,12,16,0,9,16.0,Friday
2024-12-07,74,36,11,53,3.272727272727273,Saturday
