timestamp,text,sentiment,stock_mentions,source,hour_of_day,day_of_week,is_market_open
2024-12-06 09:11:32+00:00,"today's best offer bitcoins double money paytm//google pay/phonepe doubling ₹3000/- and get ₹ 10,000/- ₹5000/- and get ₹ 20,000/- ₹10000/- and get ₹30,000/- ₹15000/- and get ₹45,000/- ₹20000/- and get ₹60,000/- ₹30000/- and get ₹90,000/- ₹50000/- and get ₹1.5 lac... money will be credited in your account under 30-45 minutes.",Positive,None,Telegram,9,Friday,1
2024-12-06 09:11:32+00:00,congratulations payment done ✅ today all investors' payments have been returned with good profits. shared some screenshots.✅✅ invest start now *❤️,Positive,None,Telegram,9,Friday,1
2024-12-06 09:11:32+00:00,✔️,Neutral,None,Telegram,9,Friday,1
2024-12-06 07:46:50+00:00,with fees refund challenge new hero zero trade giving in our paid premium channel risk 4k & profit 40k ready,Positive,None,Telegram,7,Friday,0
2024-12-06 07:46:50+00:00,future lovers ❤️❤️ buy dlf future above 850 trg 865-880 sl paid update 1 -- 854 update 2 -- 858 safe traders can book rest trailing sl ✅,Positive,None,Telegram,7,Friday,0
2024-12-06 07:46:50+00:00,stock option lovers ❤️❤️ buy bajfinance 6700 ce above 250 trg 350-450 sl paid update 1 -- 290 safe traders can book rest trailing sl ✅,Positive,None,Telegram,7,Friday,0
2024-12-06 04:58:09+00:00,hero zero index option lovers ❤️❤️ buy sensex 81700 ce above 160 trg 340-500-650 sl paid update 1 -- 230 safe traders can book rest trailing sl ✅,Positive,sensex,Telegram,4,Friday,0
2024-12-06 04:57:46+00:00,hero zero index option lovers ❤️❤️ buy nifty 24750 ce above 160 trg 280-380-500 sl paid update 1 -- 200 safe traders can book rest trailing sl ✅,Positive,nifty,Telegram,4,Friday,0
2024-12-06 04:56:30+00:00,with fees refund challenge new hero zero trade giving in our paid premium channel risk 4k & profit 40k ready,Positive,None,Telegram,4,Friday,0
2024-12-06 04:44:36+00:00,hero zero index option lovers ❤️❤️ buy sensex 81700 ce above 160 trg 340-500-650 sl paid,Neutral,sensex,Telegram,4,Friday,0
2024-12-06 04:44:24+00:00,hero zero index option lovers ❤️❤️ buy nifty 24750 ce above 160 trg 280-380-500 sl paid,Neutral,nifty,Telegram,4,Friday,0
2024-12-06 04:38:49+00:00,with fees refund challenge new hero zero trade giving in our paid premium channel risk 4k & profit 40k ready,Positive,None,Telegram,4,Friday,0
2024-12-06 04:16:05+00:00,hero zero index option lovers ❤️❤️ buy sensex 82000 ce above 180 trg 340-500-650 sl paid update 1 -- 220 safe traders can book rest trailing sl ✅,Positive,sensex,Telegram,4,Friday,0
2024-12-06 04:07:15+00:00,hero zero index option lovers ❤️❤️ buy sensex 82000 ce above 180 trg 340-500-650 sl paid,Neutral,sensex,Telegram,4,Friday,0
2024-12-06 04:07:15+00:00,hero zero index option lovers ❤️❤️ buy nifty 24800 ce above 170 trg 240-320-450 sl paid update 1 -- 190 update 2 -- 210 safe traders can book rest trailing sl ✅,Positive,nifty,Telegram,4,Friday,0
2024-12-06 04:07:15+00:00,index option lovers ❤️❤️ buy banknifty 53700 ce above 750 trg 900-1100-1300 sl paid update 1 -- 810 update 2 -- 840 safe traders can book rest trailing sl ✅,Positive,nifty,Telegram,4,Friday,0
2024-12-06 04:07:15+00:00,hero zero index option lovers ❤️❤️ buy nifty 24800 ce above 170 trg 240-320-450 sl paid update 1 -- 190 safe traders can book rest trailing sl ✅,Positive,nifty,Telegram,4,Friday,0
2024-12-06 04:07:15+00:00,future lovers ❤️❤️ buy dlf future above 850 trg 865-880 sl paid update 1 -- 854 safe traders can book rest trailing sl ✅,Positive,None,Telegram,4,Friday,0
2024-12-06 04:07:15+00:00,index option lovers ❤️❤️ buy banknifty 53700 ce above 750 trg 900-1100-1300 sl paid update 1 -- 810 safe traders can book rest trailing sl ✅,Positive,nifty,Telegram,4,Friday,0
2024-12-06 04:07:15+00:00,upper bale trade lelo kuch he der me bada paisa ban jayga,Neutral,None,Telegram,4,Friday,0
