date,sender_id,text,sentiment,stock_mentions,message_length,has_url
2024-12-06 09:11:32+00:00,-1002181950606,"today's best offer bitcoins double money paytm//google pay/phonepe doubling ₹3000/- and get ₹ 10,000/- ₹5000/- and get ₹ 20,000/- ₹10000/- and get ₹30,000/- ₹15000/- and get ₹45,000/- ₹20000/- and get ₹60,000/- ₹30000/- and get ₹90,000/- ₹50000/- and get ₹1.5 lac... money will be credited in your account under 30-45 minutes.",Positive,itc,326,0
2024-12-06 09:11:32+00:00,-1002181950606,congratulations payment done ✅ today all investors' payments have been returned with good profits. shared some screenshots.✅✅ invest start now *❤️,Positive,None,146,0
2024-12-06 09:11:32+00:00,-1002181950606,✔️,Neutral,None,2,0
2024-12-06 07:46:50+00:00,-1002181950606,with fees refund challenge new hero zero trade giving in our paid premium channel risk 4k & profit 40k ready,Positive,None,108,0
2024-12-06 07:46:50+00:00,-1002181950606,future lovers ❤️❤️ buy dlf future above 850 trg 865-880 sl paid update 1 -- 854 update 2 -- 858 safe traders can book rest trailing sl ✅,Positive,None,136,0
2024-12-06 07:46:50+00:00,-1002181950606,stock option lovers ❤️❤️ buy bajfinance 6700 ce above 250 trg 350-450 sl paid update 1 -- 290 safe traders can book rest trailing sl ✅,Positive,None,134,0
2024-12-06 04:58:09+00:00,-1002181950606,hero zero index option lovers ❤️❤️ buy sensex 81700 ce above 160 trg 340-500-650 sl paid update 1 -- 230 safe traders can book rest trailing sl ✅,Positive,"sensex, nse",145,0
2024-12-06 04:57:46+00:00,-1002181950606,hero zero index option lovers ❤️❤️ buy nifty 24750 ce above 160 trg 280-380-500 sl paid update 1 -- 200 safe traders can book rest trailing sl ✅,Positive,None,144,0
2024-12-06 04:56:30+00:00,-1002181950606,with fees refund challenge new hero zero trade giving in our paid premium channel risk 4k & profit 40k ready,Positive,None,108,0
2024-12-06 04:44:36+00:00,-1002181950606,hero zero index option lovers ❤️❤️ buy sensex 81700 ce above 160 trg 340-500-650 sl paid,Neutral,"sensex, nse",88,0
