date,hour,total_mentions,positive_sentiment,negative_sentiment,neutral_sentiment,sentiment_ratio,is_market_open
2024-10-21,5,0,3,0,0,3.0,0
2024-10-21,11,0,2,0,1,2.0,1
2024-10-21,15,0,2,0,0,2.0,1
2024-10-22,3,0,1,0,0,1.0,0
2024-10-22,4,11,10,0,5,10.0,0
2024-10-22,7,0,1,0,0,1.0,0
2024-10-22,14,0,0,0,1,0.0,1
2024-10-23,3,0,1,0,0,1.0,0
2024-10-23,4,3,6,0,3,6.0,0
2024-10-23,7,0,1,0,0,1.0,0
2024-10-24,4,11,13,0,5,13.0,0
2024-10-24,7,0,1,0,0,1.0,0
2024-10-24,14,0,0,0,1,0.0,1
2024-10-24,16,0,2,0,0,2.0,0
2024-10-25,5,0,1,0,0,1.0,0
2024-10-25,12,0,1,0,0,1.0,1
2024-10-28,3,0,0,0,1,0.0,0
2024-10-28,4,11,11,0,6,11.0,0
2024-10-28,10,0,1,0,0,1.0,1
2024-10-28,16,0,0,1,0,0.0,0
2024-10-29,3,0,1,0,0,1.0,0
2024-10-29,5,12,8,0,10,8.0,0
2024-10-29,9,0,1,0,0,1.0,1
2024-10-29,16,0,1,0,0,1.0,0
2024-10-30,3,1,1,0,2,1.0,0
2024-10-31,2,0,1,0,0,1.0,0
2024-10-31,6,11,13,0,6,13.0,0
2024-10-31,16,0,1,1,0,1.0,0
2024-11-01,4,0,1,0,0,1.0,0
2024-11-01,9,0,5,0,0,5.0,1
2024-11-02,2,0,1,0,0,1.0,0
2024-11-04,3,0,1,0,0,1.0,0
2024-11-04,4,2,1,0,4,1.0,0
2024-11-04,6,3,1,0,3,1.0,0
2024-11-04,7,2,1,0,2,1.0,0
2024-11-04,8,3,2,0,1,2.0,0
2024-11-04,11,1,1,0,0,1.0,1
2024-11-04,14,0,1,1,0,1.0,1
2024-11-05,4,9,12,0,6,12.0,0
2024-11-05,5,4,4,0,1,4.0,0
2024-11-05,7,3,3,0,0,3.0,0
2024-11-05,10,2,1,0,3,1.0,1
2024-11-06,2,0,1,0,0,1.0,0
2024-11-06,4,10,9,0,9,9.0,0
2024-11-06,5,6,4,0,3,4.0,0
2024-11-06,6,2,2,0,0,2.0,0
2024-11-06,10,0,1,0,0,1.0,1
2024-11-06,13,0,0,1,0,0.0,1
2024-11-07,3,0,1,0,0,1.0,0
2024-11-07,4,6,0,0,9,0.0,0
2024-11-07,6,2,3,0,0,3.0,0
2024-11-07,7,2,1,0,1,1.0,0
2024-11-07,10,0,1,0,0,1.0,1
2024-11-07,17,0,0,1,0,0.0,0
2024-11-08,1,0,1,0,0,1.0,0
2024-11-08,4,8,15,0,5,15.0,0
2024-11-08,5,1,0,0,1,0.0,0
2024-11-08,6,1,3,0,0,3.0,0
2024-11-08,7,6,9,0,0,9.0,0
2024-11-08,9,0,2,0,0,2.0,1
2024-11-08,14,0,0,1,0,0.0,1
2024-11-09,2,0,1,0,0,1.0,0
2024-11-11,3,7,7,0,6,7.0,0
2024-11-11,4,9,12,0,0,12.0,0
2024-11-11,5,7,10,0,1,10.0,0
2024-11-11,6,1,2,0,1,2.0,0
2024-11-11,7,0,1,0,0,1.0,0
2024-11-11,10,0,0,0,1,0.0,1
2024-11-11,12,0,1,0,0,1.0,1
2024-11-12,2,0,1,0,0,1.0,0
2024-11-12,3,3,1,0,4,1.0,0
2024-11-12,4,4,4,0,2,4.0,0
2024-11-12,5,4,3,0,1,3.0,0
2024-11-12,9,0,1,0,0,1.0,1
2024-11-13,2,0,1,0,0,1.0,0
2024-11-13,4,11,14,0,5,14.0,0
